   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 11/06/14
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
---------------------/ IPRT= 1  / IGRD= 2  /--------/ Z1= 1   / DATE= 11/06/14
 -12.44607 -12.42439 -12.39976 -12.36217 -12.32862 -12.28914 -12.22770 -12.17330
 -12.11099 -12.01821 -11.93750 -11.84267 -11.69218 -11.55774 -11.40384 -11.16448
 -10.95436 -10.71968 -10.37120 -10.08463  -9.78763  -9.38782  -9.08356  -8.77907
 -12.63441 -12.61942 -12.60212 -12.57510 -12.55091 -12.52287 -12.47861 -12.43937
 -12.39514 -12.32671 -12.26541 -12.19432 -12.08274 -11.98202 -11.86416 -11.67900
 -11.51247 -11.31813 -11.01329 -10.75042 -10.46858 -10.07914  -9.77893  -9.47800
 -12.86370 -12.85530 -12.84436 -12.82803 -12.81336 -12.79448 -12.76629 -12.74208
 -12.71303 -12.66966 -12.63132 -12.58426 -12.50941 -12.44245 -12.36398 -12.23734
 -12.11678 -11.96643 -11.71221 -11.47795 -11.21354 -10.83375 -10.53553 -10.23591
 -13.01264 -13.00692 -12.99922 -12.98856 -12.97890 -12.96508 -12.94544 -12.92914
 -12.90817 -12.87612 -12.84824 -12.81466 -12.76113 -12.71265 -12.65502 -12.55845
 -12.46185 -12.33542 -12.10591 -11.88355 -11.62666 -11.24902 -10.94817 -10.64534
 -13.17466 -13.17062 -13.16569 -13.15775 -13.15071 -13.14274 -13.12985 -13.11842
 -13.10585 -13.08478 -13.06522 -13.04357 -13.00992 -12.97847 -12.93937 -12.86905
 -12.79243 -12.68461 -12.47590 -12.26475 -12.01381 -11.63686 -11.33333 -11.02741
 -13.35435 -13.35261 -13.35002 -13.34613 -13.34272 -13.33827 -13.33174 -13.32646
 -13.32040 -13.31071 -13.30162 -13.29065 -13.27363 -13.25805 -13.23767 -13.19346
 -13.13530 -13.04363 -12.85405 -12.65489 -12.41183 -12.03923 -11.73626 -11.43053
 -13.49991 -13.49830 -13.49630 -13.49369 -13.49158 -13.48882 -13.48483 -13.48165
 -13.47808 -13.47301 -13.46886 -13.46419 -13.45732 -13.45057 -13.43994 -13.40966
 -13.36191 -13.27963 -13.10188 -12.91139 -12.67606 -12.31065 -12.01123 -11.70881
 -13.55375 -13.56034 -13.56694 -13.57663 -13.58440 -13.59173 -13.60174 -13.60963
 -13.61736 -13.62854 -13.63780 -13.64731 -13.66184 -13.67329 -13.68175 -13.67815
 -13.65054 -13.58700 -13.43356 -13.25921 -13.03477 -12.67846 -12.38432 -12.08698
 -13.04577 -13.07278 -13.10059 -13.13887 -13.16947 -13.20190 -13.24794 -13.28447
 -13.32156 -13.37218 -13.41242 -13.45470 -13.51342 -13.55998 -13.60734 -13.66011
 -13.68365 -13.68506 -13.63341 -13.53658 -13.37753 -13.07838 -12.81109 -12.53840
 -12.63567 -12.66592 -12.69804 -12.74338 -12.77991 -12.81859 -12.87450 -12.91996
 -12.96674 -13.03051 -13.08203 -13.13824 -13.21632 -13.27747 -13.34084 -13.42149
 -13.47504 -13.51808 -13.54858 -13.53243 -13.45918 -13.25149 -13.03518 -12.81100
 -12.38870 -12.42104 -12.45602 -12.50418 -12.54229 -12.58338 -12.64320 -12.69189
 -12.74234 -12.81188 -12.86857 -12.93064 -13.01767 -13.08608 -13.15671 -13.24919
 -13.31428 -13.37228 -13.43827 -13.46814 -13.45924 -13.34740 -13.20399 -13.05271
 -12.26549 -12.29803 -12.33338 -12.38232 -12.42127 -12.46337 -12.52399 -12.57353
 -12.62631 -12.70095 -12.76088 -12.82374 -12.91228 -12.98327 -13.05644 -13.15207
 -13.22095 -13.28611 -13.36883 -13.42059 -13.44634 -13.40557 -13.32957 -13.24752
 -12.25717 -12.28964 -12.32453 -12.37396 -12.41359 -12.45524 -12.51616 -12.56691
 -12.62039 -12.69482 -12.75477 -12.81876 -12.90779 -12.97816 -13.05125 -13.14717
 -13.21645 -13.28272 -13.37006 -13.42912 -13.46690 -13.45463 -13.40773 -13.35578
 -12.32140 -12.35343 -12.38858 -12.43755 -12.47645 -12.51819 -12.57888 -12.62920
 -12.68283 -12.75649 -12.81570 -12.88039 -12.96956 -13.03868 -13.11026 -13.20395
