   74    /W   IONISATION RATE COEFFICIENTS   /
 2.361E+04 5.903E+04 1.181E+05 2.361E+05 5.903E+05 1.181E+06
 1.288E-13 1.189E-11 5.501E-11 1.141E-10 1.577E-10 1.554E-10
 1.369E-10 1.057E-10 8.406E-11 6.569E-11 4.680E-11 3.594E-11
W +37/W +38/   12/I.P. =         13079886.0/ICODE =  1/FCODE =  1/ISEL =  38
 2.490E+02 6.221E+02 1.241E+03 2.490E+03 6.221E+03 1.241E+04
 2.490E+04 6.221E+04 1.241E+05 2.490E+05 6.221E+05 1.241E+06
 1.083E-13 9.811E-12 4.506E-11 9.318E-11 1.280E-10 1.261E-10
 1.110E-10 8.558E-11 6.810E-11 5.318E-11 3.790E-11 2.906E-11
W +38/W +39/   12/I.P. =         14758325.0/ICODE =  1/FCODE =  1/ISEL =  39
 2.620E+02 6.558E+02 1.310E+03 2.620E+03 6.558E+03 1.310E+04
 2.620E+04 6.558E+04 1.310E+05 2.620E+05 6.558E+05 1.310E+06
 4.707E-13 4.191E-11 1.856E-10 3.826E-10 5.563E-10 5.877E-10
 5.591E-10 4.731E-10 3.987E-10 3.267E-10 2.438E-10 1.926E-10
W +39/W +40/   12/I.P. =         15187412.0/ICODE =  1/FCODE =  1/ISEL =  40
 2.757E+02 6.894E+02 1.379E+03 2.757E+03 6.894E+03 1.379E+04
 2.757E+04 6.894E+04 1.379E+05 2.757E+05 6.894E+05 1.379E+06
 6.291E-13 4.639E-11 1.935E-10 3.839E-10 5.453E-10 5.716E-10
 5.406E-10 4.567E-10 3.841E-10 3.144E-10 2.345E-10 1.850E-10
W +40/W +41/   12/I.P. =         15651987.0/ICODE =  1/FCODE =  1/ISEL =  41
 2.895E+02 7.247E+02 1.448E+03 2.895E+03 7.247E+03 1.448E+04
 2.895E+04 7.247E+04 1.448E+05 2.895E+05 7.247E+05 1.448E+06
 8.286E-13 5.154E-11 2.006E-10 3.856E-10 5.358E-10 5.578E-10
 5.252E-10 4.416E-10 3.706E-10 3.030E-10 2.263E-10 1.782E-10
W +41/W +42/   12/I.P. =         16089139.0/ICODE =  1/FCODE =  1/ISEL =  42
 3.042E+02 7.600E+02 1.517E+03 3.042E+03 7.600E+03 1.517E+04
 3.042E+04 7.600E+04 1.517E+05 3.042E+05 7.600E+05 1.517E+06
 1.099E-12 5.685E-11 2.080E-10 3.876E-10 5.273E-10 5.446E-10
 5.099E-10 4.273E-10 3.591E-10 2.928E-10 2.183E-10 1.724E-10
W +42/W +43/   12/I.P. =         17334458.0/ICODE =  1/FCODE =  1/ISEL =  43
 3.188E+02 7.971E+02 1.594E+03 3.188E+03 7.971E+03 1.594E+04
 3.188E+04 7.971E+04 1.594E+05 3.188E+05 7.971E+05 1.594E+06
 2.973E-13 2.537E-11 1.110E-10 2.250E-10 3.195E-10 3.310E-10
 3.072E-10 2.517E-10 2.073E-10 1.663E-10 1.215E-10 9.434E-11
W +43/W +44/   12/I.P. =         17824844.0/ICODE =  1/FCODE =  1/ISEL =  44
 3.335E+02 8.341E+02 1.672E+03 3.335E+03 8.341E+03 1.672E+04
 3.335E+04 8.341E+04 1.672E+05 3.335E+05 8.341E+05 1.672E+06
 3.933E-13 2.788E-11 1.145E-10 2.239E-10 3.112E-10 3.193E-10
 2.949E-10 2.410E-10 1.979E-10 1.589E-10 1.158E-10 8.988E-11
W +44/W +45/   12/I.P. =         18990314.0/ICODE =  1/FCODE =  1/ISEL =  45
 3.490E+02 8.703E+02 1.749E+03 3.490E+03 8.703E+03 1.749E+04
 3.490E+04 8.703E+04 1.749E+05 3.490E+05 8.703E+05 1.749E+06
 3.049E-13 2.392E-11 1.010E-10 1.998E-10 2.812E-10 2.907E-10
 2.700E-10 2.220E-10 1.829E-10 1.474E-10 1.078E-10 8.369E-11
W +45/W +46/   12/I.P. =         19471020.0/ICODE =  1/FCODE =  1/ISEL =  46
 3.645E+02 9.134E+02 1.827E+03 3.645E+03 9.134E+03 1.827E+04
 3.645E+04 9.134E+04 1.827E+05 3.645E+05 9.134E+05 1.827E+06
 3.942E-13 2.659E-11 1.044E-10 2.002E-10 2.759E-10 2.830E-10
 2.616E-10 2.144E-10 1.764E-10 1.420E-10 1.035E-10 8.050E-11
W +46/W +47/   12/I.P. =         32721896.0/ICODE =  1/FCODE =  1/ISEL =  47
 3.809E+02 9.479E+02 1.904E+03 3.809E+03 9.479E+03 1.904E+04
 3.809E+04 9.479E+04 1.904E+05 3.809E+05 9.479E+05 1.904E+06
 1.574E-15 1.337E-12 1.401E-11 4.532E-11 8.656E-11 9.887E-11
 9.551E-11 7.902E-11 6.442E-11 5.096E-11 3.620E-11 2.766E-11
W +47/W +48/   12/I.P. =         33713956.0/ICODE =  1/FCODE =  1/ISEL =  48
 3.972E+02 9.910E+02 1.982E+03 3.972E+03 9.910E+03 1.982E+04
 3.972E+04 9.910E+04 1.982E+05 3.972E+05 9.910E+05 1.982E+06
